Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2025-07-10,9.5,-0.6852852978208772,-0.6852852978208772
2025-07-11,19.5,0.21300975927058738,0.21300975927058738
2025-07-13,0.0,-1.5386656020577687,-1.5386656020577687
2025-07-14,10.0,-0.640370544966304,-0.640370544966304
2025-07-17,15.0,-0.19122301642057168,-0.19122301642057168
2025-07-18,6.5,-0.9547738149483166,-0.9547738149483166
2025-07-21,20.5,0.30283926497973385,0.30283926497973385
2025-07-22,17.0,-0.011564005002278773,-0.011564005002278773
2025-07-23,9.5,-0.6852852978208772,-0.6852852978208772
2025-07-24,14.5,-0.23613776927514493,-0.23613776927514493
2025-07-25,4.5,-1.1344328263666095,-1.1344328263666095
