Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2025-05-14,11.25,0.5656288851841942,0.5656288851841942
2025-05-16,11.25,0.5656288851841942,0.5656288851841942
2025-05-18,5.25,-0.6153574911159415,-0.6153574911159415
2025-05-19,12.0,0.7132521822217112,0.7132521822217112
2025-05-20,7.25,-0.22169536568256296,-0.22169536568256296
2025-05-21,10.25,0.3687978224675049,0.3687978224675049
2025-05-22,10.75,0.4672133538258496,0.4672133538258496
2025-05-23,10.5,0.41800558814667726,0.41800558814667726
2025-05-25,5.0,-0.6645652567951139,-0.6645652567951139
2025-05-26,7.0,-0.27090313136173527,-0.27090313136173527
2025-05-27,6.25,-0.41852642839925225,-0.41852642839925225
2025-05-28,10.75,0.4672133538258496,0.4672133538258496
2025-06-01,4.0,-0.8613963195118032,-0.8613963195118032
2025-06-02,6.25,-0.41852642839925225,-0.41852642839925225
2025-06-03,7.5,-0.17248760000339064,-0.17248760000339064
2025-06-04,13.25,0.9592910106175728,0.9592910106175728
2025-06-05,11.5,0.6148366508633666,0.6148366508633666
2025-06-08,3.0,-1.0582273822284924,-1.0582273822284924
2025-06-09,5.25,-0.6153574911159415,-0.6153574911159415
2025-06-10,5.25,-0.6153574911159415,-0.6153574911159415
2025-06-13,14.25,1.156122073334262,1.156122073334262
2025-06-15,4.0,-0.8613963195118032,-0.8613963195118032
2025-06-16,7.25,-0.22169536568256296,-0.22169536568256296
2025-06-17,8.0,-0.074072068645046,-0.074072068645046
2025-06-18,7.25,-0.22169536568256296,-0.22169536568256296
2025-06-19,5.25,-0.6153574911159415,-0.6153574911159415
2025-06-20,9.5,0.22117452542998797,0.22117452542998797
2025-06-22,5.25,-0.6153574911159415,-0.6153574911159415
2025-06-23,13.75,1.0577065419759175,1.0577065419759175
2025-06-24,7.5,-0.17248760000339064,-0.17248760000339064
2025-06-25,7.5,-0.17248760000339064,-0.17248760000339064
2025-06-29,2.5,-1.1566429135868372,-1.1566429135868372
2025-06-30,7.5,-0.17248760000339064,-0.17248760000339064
2025-07-01,11.0,0.5164211195050219,0.5164211195050219
2025-07-02,6.25,-0.41852642839925225,-0.41852642839925225
2025-07-04,4.5,-0.7629807881534585,-0.7629807881534585
2025-07-06,2.0,-1.2550584449451818,-1.2550584449451818
2025-07-07,7.5,-0.17248760000339064,-0.17248760000339064
2025-07-08,5.5,-0.5661497254367692,-0.5661497254367692
2025-07-09,11.0,0.5164211195050219,0.5164211195050219
2025-07-10,4.75,-0.7137730224742862,-0.7137730224742862
2025-07-11,7.0,-0.27090313136173527,-0.27090313136173527
2025-07-13,0.0,-1.6487205703785603,-1.6487205703785603
2025-07-14,4.75,-0.7137730224742862,-0.7137730224742862
2025-07-17,7.25,-0.22169536568256296,-0.22169536568256296
2025-07-18,4.75,-0.7137730224742862,-0.7137730224742862
2025-07-21,7.5,-0.17248760000339064,-0.17248760000339064
2025-07-22,7.25,-0.22169536568256296,-0.22169536568256296
2025-07-23,5.75,-0.5169419597575969,-0.5169419597575969
2025-07-24,6.0,-0.4677341940784246,-0.4677341940784246
2025-07-25,5.0,-0.6645652567951139,-0.6645652567951139
2025-07-27,0.0,-1.6487205703785603,-1.6487205703785603
2025-07-28,5.25,-0.6153574911159415,-0.6153574911159415
2025-07-29,10.5,0.41800558814667726,0.41800558814667726
2025-08-03,0.0,-1.6487205703785603,-1.6487205703785603
2025-08-04,8.0,-0.074072068645046,-0.074072068645046
2025-08-05,2.0,-1.2550584449451818,-1.2550584449451818
